1,Amorphophallus titanium,"Corpse flower, thin decisuous tree with opposite, light green, lobed leaves",Sumatra
2,Begonia emeiensis,"Mounding plant with rippled, heart-shaped leaves",China
3,Cassula ovata,"Shrub-like succulent with thick branches and thick, shiny, opposite leaves forming a rosette pattern","Eastern Cape, Africa"
4,Chrlophytum comosum,"Bushy plant with long, narrow, light green leaves with a pale green internal stripe",Southern Africa
5,Curio radicans,Vining plant with pea-sized spherical leaves,South Africa
6,Curio rowleyanus,"Elongated crawling succelent with alternate, cylndrical leaves",Southwest Africa
7,Dracaena trifasciata,"Grass-like; Dense, upright, stiff leaves - dark green with yellow border",West Africa
8,Echeveria harmsii,"Short-stemmed, rosette succelent with light green and pinkish leaves",Central America
9,Gynura autantiaca,"Straight trunk with coursely-toothed, dark green leaves with soft, purple hairs",Southeast Asia
10,Ipomoea batatas,"Vining cultivar of the sweet potato. Vining plant with thick, maroon stem and alternate, triangle shaped, green-maroon leaves.",Central & South America
11,Kalanchoe delagoensis,"Thin, upright succulent with round, alternate, green stems",Madagascar
12,Monstera deliciosa,"Tall stemmed; large, leathery heart shaped leaves with deep lobes",Mexico & Central America
13,Nepenthes gracilis,"Succelent with a thick green stem and long, pointed leaves, green with a reddish border",Southeast Asia
14,Nerium oleander,Deciduous tree with greyish bark and whorled trios of dark green leaves. Pink blossoms,Mediterranean
15,Pachria aquatica,"Deciduous tree with a braided trunk and round-pointed, composite leaves",Central & South America
16,Peperomia caperata,"Heart-shaped, textured leaves, with a red stem",Brazil
17,Persea americana,"Thin trunk deciduous, long, alternate leaves of varying shapes",Mexico & Guatemala
18,Schlumbergera truncata,"Flat, segemented, stem with toothed lobes",Brazil
19,Scindapsis pictus,"Climbing plant with thin, vining, stem and heart-shaped, green, white-dotted leaves",Southeeast Asia
20,Selenicerus hamatus,Vining cactus with flat main stems; flowering stems are spiked & cylindrical,Mexico
21,Tradescantia pallida,"Scrambling plant with a purple stem and long, pointed, green-purple leaves",Mexico